NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Rionuevo,Altos del Rosario,Bolivar,35.36,45.48,65.92,217.1,380.2,274.0,282.2,364.0,448.8,502.9,439.4,139.1,3194.46
Arenal,Arenal,Bolivar,7.417,17.96,49.37,140.4,199.8,150.0,131.9,200.2,234.9,265.3,146.0,18.6,1561.847
Diamante El,Arenal,Bolivar,12.85,21.69,53.59,152.7,252.4,177.4,142.6,219.5,249.0,296.5,123.6,41.46,1743.29
Arjona,Arjona,Bolivar,16.47,17.47,20.96,87.46,152.2,122.2,108.1,155.1,129.7,179.9,130.9,52.49,1172.95
Rocha,Arjona,Bolivar,9.02,12.81,12.62,65.11,133.0,125.8,112.4,125.9,125.4,200.0,117.2,42.07,1081.33
Sincerin,Arjona,Bolivar,8.815,25.55,22.48,70.56,151.0,143.5,133.7,164.3,161.6,187.4,112.2,48.23,1229.335
Barranco de Loba,Barranco de Loba,Bolivar,13.56,20.4,70.04,145.3,242.6,202.3,185.8,252.5,335.4,312.3,233.3,79.5,2093.0
Yanacue,Cantagallo,Bolivar,42.16,93.38,147.0,337.0,359.3,321.8,332.8,409.7,408.2,463.6,263.3,102.7,3280.94
Apto Rafael Nunez,Cartagena,Bolivar,4.38,0.523,2.22,23.68,114.9,100.0,110.4,124.8,134.7,230.4,127.6,34.84,1008.4430000000001
Bayunca,Cartagena,Bolivar,5.51,5.7,14.7,59.16,158.0,129.4,137.5,157.3,184.9,219.2,184.0,47.09,1302.46
Esc Naval CIOH,Cartagena,Bolivar,2.318,0.647,2.382,18.95,91.17,83.93,92.23,103.3,117.4,162.2,99.68,35.44,809.6470000000002
Sta Ana,Cartagena,Bolivar,0.292,0.528,4.788,22.84,107.9,99.94,74.56,92.23,110.9,198.7,89.25,35.6,837.5280000000001
Esperanza La,Cicuco,Bolivar,15.59,16.33,25.41,93.84,189.9,167.4,170.5,187.6,219.4,220.3,91.91,51.37,1449.55
Limon El,Cicuco,Bolivar,7.322,14.67,30.28,122.5,332.4,174.5,212.1,250.2,310.1,286.6,131.4,74.21,1946.2820000000002
Cordoba,Cordoba,Bolivar,7.219,21.61,34.63,95.82,111.7,116.1,102.1,131.7,117.8,135.3,64.47,26.82,965.2689999999999
Camaron,El Carmen de Bolivar,Bolivar,48.86,53.15,65.09,155.8,230.4,229.0,164.3,175.3,212.4,302.2,198.6,106.9,1942.0
Carmen de Bolivar,El Carmen de Bolivar,Bolivar,26.18,37.02,50.38,101.7,140.0,95.49,92.38,121.0,135.2,141.0,89.7,38.71,1068.76
Esperanza Fca La,El Carmen de Bolivar,Bolivar,54.54,63.06,75.35,206.0,253.5,213.2,186.0,222.2,238.4,285.6,209.9,113.6,2121.35
Mesa,El Carmen de Bolivar,Bolivar,37.25,59.23,67.27,164.4,260.1,225.4,152.2,219.6,229.1,279.7,209.3,100.4,2003.95
Miranda,El Carmen de Bolivar,Bolivar,25.07,42.49,64.18,141.6,225.4,208.4,167.0,197.9,213.8,240.9,205.0,118.3,1850.04
Guamo El,El Guamo,Bolivar,14.58,30.2,40.03,108.4,153.8,120.1,118.7,146.0,160.5,172.5,90.91,37.53,1193.25
Aguadas Las Alerta,Hatillo de Loba,Bolivar,20.19,36.09,68.66,158.0,245.2,205.3,172.3,235.8,303.7,333.1,204.4,79.57,2062.31
